driver_id,risk_score,annual_premium,monthly_premium,pricing_tier,behavioral_factor,traditional_factor
driver_61,33.17,1525.28,127.11,Standard,0.965,1.475
driver_62,5.83,1281.79,106.82,Preferred,0.747,1.282
driver_63,6.03,1067.1,88.92,Preferred Plus,0.748,0.983
driver_64,45.59,1434.47,119.54,Standard,1.065,1.282
driver_65,5.83,1110.79,92.57,Preferred,0.747,1.045
driver_66,60.88,1766.78,147.23,Non-Standard,1.187,1.662
driver_67,31.17,1139.69,94.97,Preferred,0.949,0.95
driver_68,27.83,1366.27,113.86,Standard,0.923,1.282
driver_69,45.36,1433.58,119.47,Standard,1.063,1.282
driver_70,8.77,1431.59,119.3,Standard,0.77,1.475
driver_71,27.83,1150.81,95.9,Preferred,0.923,0.983
driver_72,27.83,1058.47,88.21,Preferred,0.923,0.855
driver_73,21.83,1103.83,91.99,Preferred,0.875,0.95
driver_74,27.58,1638.91,136.58,Non-Standard,0.921,1.662
driver_75,28.94,1028.53,85.71,Preferred,0.932,0.807
driver_76,32.57,1247.67,103.97,Preferred,0.961,1.092
driver_77,40.1,1515.98,126.33,Standard,1.021,1.425
driver_78,39.97,1412.88,117.74,Standard,1.02,1.282
driver_79,19.08,1252.3,104.36,Preferred,0.853,1.171
driver_80,28.11,1640.94,136.75,Non-Standard,0.925,1.662
driver_81,39.67,1196.27,99.69,Preferred,1.017,0.983
driver_82,37.29,1060.59,88.38,Preferred,0.998,0.807
driver_83,22.72,1038.84,86.57,Preferred Plus,0.882,0.855
driver_84,37.51,1148.65,95.72,Preferred,1.0,0.929
driver_85,7.8,1152.55,96.05,Preferred,0.762,1.092
driver_86,23.94,1351.33,112.61,Standard,0.892,1.282
driver_87,38.7,1168.61,97.38,Preferred,1.01,0.95
driver_88,31.17,1379.09,114.92,Standard,0.949,1.282
driver_89,22.54,1484.46,123.71,Standard,0.88,1.475
driver_90,13.83,970.51,80.88,Preferred Plus,0.811,0.807
driver_91,17.17,1325.33,110.44,Standard,0.837,1.282
driver_92,44.72,1089.12,90.76,Preferred,1.058,0.807
driver_93,8.03,982.44,81.87,Preferred Plus,0.764,0.855
driver_94,39.04,1101.51,91.79,Preferred,1.012,0.855
driver_95,37.33,1094.95,91.25,Preferred,0.999,0.855
driver_96,45.63,1126.82,93.9,Preferred,1.065,0.855
driver_97,13.83,1312.51,109.38,Preferred,0.811,1.282
driver_98,35.84,1181.57,98.46,Preferred,0.987,0.983
driver_99,31.17,1037.09,86.42,Preferred,0.949,0.807
